epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,"largestError, MSError",
40,1.00E-09,0,-45805.52519,41856.27183,83544.71002,196498.6381,192372.8649,1286.675074,18341.03961,26416.14091,340903.1846,806516101.3
40,1.00E-09,1.00E-13,-45805.52519,41856.27183,83544.71002,196498.6381,192372.8649,1286.675074,18341.03961,26416.14091,340903.1846,806516101.3
40,1.00E-09,1.00E-12,-45805.52519,41856.27183,83544.71002,196498.6381,192372.8649,1286.675074,18341.03961,26416.14091,340903.1846,806516101.3
40,1.00E-09,1.00E-11,-45805.52519,41856.27183,83544.71002,196498.6381,192372.8649,1286.675074,18341.03961,26416.14091,340903.1846,806516101.3
50,1.00E-09,0,-45805.53321,41856.27884,83544.71032,196498.6591,192372.8805,1286.680665,18341.04321,26416.14227,340903.1525,806516044.6
50,1.00E-09,1.00E-13,-45805.53321,41856.27884,83544.71032,196498.6591,192372.8805,1286.680665,18341.04321,26416.14227,340903.1525,806516044.6
50,1.00E-09,1.00E-12,-45805.53321,41856.27884,83544.71032,196498.6591,192372.8805,1286.680665,18341.04321,26416.14227,340903.1525,806516044.6
50,1.00E-09,1.00E-11,-45805.53321,41856.27884,83544.71032,196498.6591,192372.8805,1286.680665,18341.04321,26416.14227,340903.1525,806516044.6
70,1.00E-09,0,-45805.54926,41856.29287,83544.71093,196498.701,192372.9116,1286.691848,18341.0504,26416.14499,340903.0882,806515931.2
70,1.00E-09,1.00E-13,-45805.54926,41856.29287,83544.71093,196498.701,192372.9116,1286.691848,18341.0504,26416.14499,340903.0882,806515931.2
70,1.00E-09,1.00E-12,-45805.54926,41856.29287,83544.71093,196498.701,192372.9116,1286.691848,18341.0504,26416.14499,340903.0882,806515931.2
70,1.00E-09,1.00E-11,-45805.54926,41856.29287,83544.71093,196498.701,192372.9116,1286.691848,18341.0504,26416.14499,340903.0882,806515931.2
100,1.00E-09,0,-45805.57333,41856.3139,83544.71184,196498.7638,192372.9584,1286.708621,18341.06118,26416.14907,340902.9918,806515761
100,1.00E-09,1.00E-13,-45805.57333,41856.3139,83544.71184,196498.7638,192372.9584,1286.708621,18341.06118,26416.14907,340902.9918,806515761
