epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,largestError,MSError
40,0.0001,0,-50526.23202947173,44541.948727781644,82371.52343627291,203966.13061527305,197227.91226707248,2604.339117526468,18669.652527784725,26296.415091603427,333549.42351525684,787263143.8820835
40,0.0001,1e-13,-50526.2320159325,44541.948720124645,82371.52344002794,203966.1305947593,197227.91225421117,2604.3391137028257,18669.652529571933,26296.415092062005,333549.4235340946,787263143.9324194
40,0.0001,1e-12,-50526.231894096265,44541.94865121672,82371.52347380607,203966.13041020848,197227.91213846102,2604.3390793011336,18669.652545651654,26296.415096187808,333549.4237035869,787263144.385328
40,0.0001,1e-11,-50526.23067578389,44541.9479621577,82371.52381156638,203966.1285647484,197227.91098104414,2604.3387352829313,18669.65270644307,26296.41513744446,333549.425398447,787263148.9142392
40,1e-05,0,-46209.739028816,42132.53135461393,83493.46033287868,197307.52521076784,192942.8976711729,1462.1369115758519,18360.35096930116,26437.8915082756,339869.2401054282,804361252.9122877
40,1e-05,1e-13,-46209.73902747575,42132.531353820545,83493.46033315617,197307.52520847463,192942.89766962206,1462.1369111565293,18360.350969879335,26437.891508278273,339869.2401079352,804361252.9183817
40,1e-05,1e-12,-46209.7390154036,42132.53134667792,83493.46033565627,197307.5251877996,192942.89765566963,1462.1369073792725,18360.35097508409,26437.89150830424,339869.24013051804,804361252.9732902
40,1e-05,1e-11,-46209.73889470187,42132.531275257905,83493.46036066648,197307.52498110532,192942.8975161418,1462.1368696080012,18360.351027121273,26437.89150856294,339869.24035630556,804361253.5222726
40,1e-06,0,-45838.786721471566,41884.229804326584,83545.01810805559,196581.96328704595,192434.41647198924,1308.3274690766668,18353.305300806314,26421.13600920985,340778.33871544164,806291408.0405203
40,1e-06,1e-13,-45838.78672136879,41884.22980424533,83545.01810805984,196581.96328680072,192434.4164718094,1308.3274690159822,18353.305300778506,26421.136009197013,340778.3387157963,806291408.0411795
40,1e-06,1e-12,-45838.78672045252,41884.22980351575,83545.0181080859,196581.96328462445,192434.41647022354,1308.3274684693533,18353.30530053191,26421.136009082278,340778.3387189457,806291408.0470239
40,1e-06,1e-11,-45838.786711292596,41884.2297962215,83545.01810834982,196581.96326288173,192434.41645433562,1308.3274630033332,18353.30529805855,26421.136007932986,340778.33875044936,806291408.1054518
40,1e-07,0,-45808.71484372607,41859.047532378885,83544.82085524351,196506.930863065,192379.03099102422,1288.8822260696113,18342.44168034788,26416.674931408917,340890.49574773276,806493662.4374409
40,1e-07,1e-13,-45808.71484371545,41859.04753237104,83544.82085524344,196506.93086304146,192379.0309910052,1288.882226063167,18342.441680344986,26416.674931407466,340890.49574776867,806493662.437508
40,1e-07,1e-12,-45808.71484362981,41859.0475322971,83544.82085523992,196506.93086281882,192379.0309908438,1288.8822260053882,18342.441680309115,26416.6749313936,340890.49574810464,806493662.4381062
40,1e-07,1e-11,-45808.714842768786,41859.04753156625,83544.82085522631,196506.93086062607,192379.03098921845,1288.8822254274714,18342.44167996537,26416.674931258578,340890.4957514194,806493662.4440377
40,1e-08,0,-45805.81414253912,41856.52421741648,83544.720858506,196499.39232119796,192373.42605493715,1286.876307510937,18341.16884486463,26416.1898581638,340902.02807867207,806514059.7100528
40,1e-08,1e-13,-45805.81414253748,41856.52421741559,83544.72085850591,196499.39232119653,192373.4260549359,1286.876307510291,18341.1688448653,26416.189858163856,340902.02807867364,806514059.7100579
40,1e-08,1e-12,-45805.81414252888,41856.524217407925,83544.72085850427,196499.39232117572,192373.42605491757,1286.8763075044778,18341.168844860833,26416.189858162066,340902.0280787092,806514059.7101187
40,1e-08,1e-11,-45805.81414244387,41856.5242173345,83544.72085850363,196499.39232095334,192373.4260547549,1286.8763074463616,18341.16884482483,26416.18985814832,340902.0280790445,806514059.7107161
40,1e-09,0,-45805.525186532905,41856.271832913946,83544.71001979952,196498.63809972984,192372.8648689134,1286.6750735213136,18341.039611819157,26416.14091009942,340903.1846194879,806516101.2952306
40,1e-09,1e-13,-45805.52518653263,41856.27183291383,83544.71001979963,196498.63809972958,192372.86486891325,1286.675073521214,18341.03961181933,26416.140910099457,340903.18461948796,806516101.2952315
